BIRTH_YEAR,COUNTY_NAME,POP,HPV1_RATE,HPVCOMP_RATE,MENACWY1_RATE,TDAP_RATE,ADOLSERIES_RATE
2010,SCOTT,2764,65.4,55.8,79.1,80.4,55.3
2010,CARVER,1929,67.8,57.2,81.9,84.2,56.3
2010,PINE,358,57,41.1,79.9,81.6,40.8
2010,RENVILLE,216,66.2,54.6,78.7,81.5,54.2
2011,CLAY,1132,61.3,37.4,61.7,63.3,35.1
2011,NOBLES,467,46.5,27,72.8,73.9,26.8
2011,RED LAKE,62,51.6,27.4,79,80.6,27.4
2012,WATONWAN,196,55.6,33.2,75,74.5,33.2
2012,ROCK,146,43.2,31.5,59.6,59.6,30.8
2012,MAHNOMEN,84,67.9,41.7,85.7,85.7,41.7
2012,TRAVERSE,38,50,28.9,55.3,52.6,26.3
2011,WASHINGTON,4563,68,56.1,81.5,81.9,55.7
2012,LE SUEUR,389,59.4,42.4,74.8,78.1,40.6
2010,WADENA,200,48.5,40,78,81,40
2010,MEEKER,323,54.8,44.3,78.9,81.1,44
2010,MARTIN,293,54.6,40.3,77.8,83.3,39.9
2010,TODD,397,52.6,42.1,70.8,73,41.8
2010,MOWER,772,66.3,49,78.1,78.1,48.3
2010,LE SUEUR,395,70.1,58,82.8,84.8,56.7
2011,LAC QUI PARLE,103,72.8,46.6,88.3,88.3,45.6
2011,BIG STONE,55,50.9,36.4,74.5,74.5,36.4
2011,PIPESTONE,158,56.3,43,75.3,75.9,41.8
2012,LAC QUI PARLE,97,74.2,51.5,85.6,86.6,50.5
2012,BROWN,315,58.4,38.1,78.1,79,37.8
2012,NORMAN,100,52,25,66,66,25
2012,DODGE,315,66.7,52.4,84.1,86,52.4
2010,TRAVERSE,43,69.8,62.8,83.7,79.1,60.5
2010,WRIGHT,2453,61.5,47.9,81.6,83.7,47.6
2011,ST LOUIS,2498,61.9,47.5,75.5,77.9,47.1
2012,CARVER,1861,63,47.2,79.3,80.8,46.3
2012,WRIGHT,2454,56.6,36.2,76.9,78.9,35.8
2010,CLAY,1243,63.3,46.6,66,67.4,44.2
2010,CLEARWATER,124,46,25.8,67.7,74.2,25.8
2010,MARSHALL,121,62.8,51.2,84.3,83.5,50.4
2010,POLK,513,51.1,37.2,67.8,69.4,36.3
2010,FILLMORE,324,63.6,54,76.2,80.2,54
2010,WILKIN,90,56.7,40,62.2,64.4,38.9
2011,YELLOW MEDICINE,141,59.6,39.7,80.1,81.6,39
2011,CLEARWATER,131,38.2,22.1,59.5,61.8,22.1
2012,PINE,318,56.3,25.5,76.1,78.6,25.2
2012,CROW WING,853,43.8,30.1,63.7,67.8,29.4
2012,BELTRAMI,783,58.6,37.4,69.9,75.6,36.9
2012,RENVILLE,215,58.1,43.3,76.7,78.1,43.3
2012,WASECA,267,55.8,31.8,75.3,77.2,31.1
2010,CROW WING,833,57.5,45.3,74.2,77.2,44.8
2010,BELTRAMI,787,68.2,48.9,76.6,79,48.7
2010,RAMSEY,8406,67.8,55,76,76.7,54
2011,ANOKA,5779,64.6,49.6,79.5,80.2,49
2010,OTTER TAIL,834,54.3,41.8,78.8,81.3,41.4
2010,CARLTON,470,71.7,60.6,85.1,86.2,60
2010,CHIPPEWA,170,58.2,38.8,82.4,82.9,38.2
2010,LAKE,151,56.3,47,74.8,79.5,46.4
2011,BLUE EARTH,886,62.3,45.7,77.7,78.2,44.9
2011,RENVILLE,227,61.7,47.1,79.7,79.7,47.1
2011,TRAVERSE,56,67.9,48.2,75,76.8,48.2
2011,STEVENS,151,68.2,49.7,86.1,82.1,48.3
2011,KOOCHICHING,146,56.2,41.8,79.5,82.2,41.1
2011,MARSHALL,118,54.2,37.3,85.6,87.3,37.3
2011,LINCOLN,85,56.5,37.6,75.3,80,37.6
2012,CHIPPEWA,186,55.4,27.4,77.4,79.6,27.4
2012,RED LAKE,63,41.3,20.6,85.7,85.7,20.6
2010,DAKOTA,7044,68.1,56.5,79,79.6,56
2011,WILKIN,109,58.7,29.4,65.1,67.9,29.4
2010,SWIFT,146,67.8,52.1,85.6,89,52.1
2010,KOOCHICHING,150,56,47.3,76,75.3,46
2010,COTTONWOOD,211,56.9,44.5,80.6,81,43.6
2010,JACKSON,144,50,37.5,79.9,81.3,36.8
