BIRTH_YEAR,COUNTY_NAME,POP,HPV1_RATE,HPVCOMP_RATE,MENACWY1_RATE,TDAP_RATE,ADOLSERIES_RATE,RE
2012,Statewide,43682,67.3,49.2,85.9,87.7,48.7,white
2011,Statewide,18389,34.9,24.2,44.5,46.4,23.8,unk
2012,Statewide,1303,69.8,42.3,81.3,84.3,41.7,aian
2010,Statewide,7400,76.8,61.7,84.6,85,60.8,hisp
2011,Statewide,8566,67.6,48.2,80.1,81.7,47.6,black
2010,Statewide,18566,35.6,26.4,45.5,47.2,25.8,unk
2012,Statewide,6555,73.8,50.1,85.2,86.2,49.4,hisp
2011,Statewide,6022,69.4,53.1,78.3,78.5,52.4,api
2012,Statewide,21065,28.5,18.2,37.3,38.9,17.9,unk
2011,Statewide,1437,73.5,46.7,82.8,84.6,46.3,aian
2012,Statewide,5739,73.1,50.9,84.4,85,50.3,api
2012,Statewide,7768,66.6,42.2,82.1,83.8,41.6,black
2010,Statewide,45520,72.2,60.8,87.4,88.7,60,white
2011,Statewide,46568,67.4,53.5,83.7,85.3,52.9,white
2010,Statewide,8500,72.4,55.1,84.4,85.2,54.4,black
2010,Statewide,1405,77.1,55.7,87.8,89.3,55.2,aian
2010,Statewide,5778,75.5,60.4,83.1,83.3,59.5,api
2011,Statewide,6521,76.9,59.1,86.9,87.6,58,hisp
