BIRTH_YEAR,COUNTY_NAME,POP,DTAPCOMP_RATE,MMR2_RATE,HEPBCOMP_RATE,POLIOCOMP_RATE,VARICELLA2_RATE,CHILD2SERIES_RATE
2017,MEEKER,290,78.6,80.3,88.3,81.7,80.3,74.1
2017,WINONA,529,78.4,77.1,90.5,79.8,76.2,74.5
2018,RAMSEY,7629,77.4,79.2,88,78.8,79.8,73.6
2019,BECKER,421,78.1,77.7,90,77.9,77,74.1
2017,WATONWAN,174,82.8,83.3,96.6,83.3,82.2,81.6
2017,AITKIN,128,77.3,79.7,89.1,79.7,79.7,76.6
2017,PENNINGTON,181,86.2,87.8,94.5,89.5,87.8,83.4
2018,ITASCA,478,81.6,83.5,90,82,82,80.3
2018,HOUSTON,230,80.9,80.9,88.3,80.9,81.3,77.4
2019,YELLOW MEDICINE,113,82.3,84.1,94.7,82.3,83.2,81.4
2019,SIBLEY,202,77.7,77.2,86.6,79.2,77.7,72.8
2019,LE SUEUR,330,83.9,84.5,90.6,85.2,83.9,80.9
2019,OLMSTED,2446,72,72.6,85.9,72.8,72.6,67.9
2019,DODGE,269,78.1,79.6,87.7,78.8,78.8,74.3
2019,NOBLES,421,81.2,82.9,86.5,81.7,81.2,72.4
2019,RENVILLE,177,80.8,80.8,92.1,79.7,78.5,77.4
2017,DAKOTA,6490,77,77.7,85.8,78.6,78.4,72
2018,STEARNS,2267,81.5,78.6,91,82.8,80.1,73.5
2018,BECKER,479,74.5,75.4,86,75.6,74.5,72.7
2019,WRIGHT,2209,75.9,73.7,80.1,75.8,75,66.5
2019,RAMSEY,7252,78.8,78.5,88.7,79.6,79.2,73.5
2017,BROWN,308,86.4,87.3,95.1,87,87.3,86
2017,LE SUEUR,413,84.3,87.7,92,86.2,87.2,81.1
2018,ROCK,100,57,56,68,57,56,52
2018,TODD,377,64.2,65.5,73.7,65,63.9,62.1
2018,TRAVERSE,46,71.7,69.6,93.5,71.7,71.7,69.6
2019,SWIFT,106,74.5,74.5,86.8,75.5,73.6,69.8
2019,MCLEOD,403,82.9,80.9,90.6,82.9,81.6,77.7
2019,NO ADDRESS ,2,0,50,100,0,50,0
2018,WATONWAN,204,84.8,87.7,96.1,84.8,86.8,84.3
2017,CLAY,1070,68.6,70.5,83.1,70.3,70.1,65.6
2018,BENTON,609,83.6,81.4,92.1,83.6,82.4,79.1
2018,SCOTT,2165,77,76.4,88.2,77.9,77.3,71.9
2018,GOODHUE,598,79.3,80.1,87,80.1,79.6,75.4
2018,MEEKER,339,76.1,76.7,88.8,77.9,77.3,73.2
2018,LE SUEUR,342,86.5,88.9,94.2,87.7,88.9,86
2018,FILLMORE,288,69.1,68.1,76,68.4,67,65.3
2019,MORRISON,424,81.8,82.1,89.9,82.3,80.9,78.3
2019,BELTRAMI,686,78.9,79.7,89.8,79.3,79.6,76.4
2019,RED LAKE,46,78.3,78.3,87,78.3,76.1,73.9
2017,WRIGHT,2292,77.1,79.1,87.6,78.1,78.5,73.9
2017,BLUE EARTH,796,83.3,84.3,94,84.5,84.5,82.2
2017,WASECA,218,81.7,82.6,90.8,82.6,83,78.4
2018,BROWN,312,81.4,82.1,92,81.7,81.1,79.2
2017,MARTIN,261,83.5,84.3,91.2,83.9,80.8,79.7
2017,PINE,336,81.8,82.4,87.5,81.8,82.1,78.9
2017,MARSHALL,135,81.5,84.4,90.4,83,84.4,79.3
2017,CLEARWATER,117,68.4,69.2,86.3,69.2,69.2,66.7
2017,RENVILLE,197,79.7,82.7,86.3,81.2,81.7,77.2
2017,SWIFT,148,81.8,83.8,88.5,83.1,84.5,79.7
2018,ROSEAU,188,73.4,75.5,85.6,74.5,73.9,70.7
2019,CHISAGO,702,77.2,75.9,89.5,76.9,75.2,72.8
2017,TRAVERSE,55,78.2,78.2,98.2,80,76.4,74.5
2017,CARVER,1664,78.1,84.3,90.5,78.6,84.1,74.2
2018,STEELE,449,83.1,83.3,89.5,83.5,83.3,78.6
2018,NOBLES,464,78.4,80.6,87.7,77.2,78.7,70.9
2019,ANOKA,5026,80,79.7,88.1,80.3,78.9,74.3
2017,BELTRAMI,702,80.1,83.3,89.9,83.5,83.8,78.5
2017,KANDIYOHI,665,81.7,82.7,93.7,82.9,81.5,77.3
2017,DOUGLAS,482,79,80.3,88.4,79.7,79.3,76.6
2017,KANABEC,212,78.8,83,90.1,81.1,80.7,76.4
2017,KITTSON,68,79.4,82.4,85.3,77.9,79.4,76.5
2018,WILKIN,88,59.1,60.2,83,59.1,58,52.3
2018,KITTSON,71,74.6,76.1,84.5,77.5,77.5,71.8
2019,GOODHUE,573,79.9,81.2,87.8,80.5,80.3,77.3
2019,ISANTI,535,76.8,77,85.4,77,76.4,74.2
2019,CLAY,974,65,67.4,84.3,66.2,66.8,61.9
2019,BIG STONE,76,75,73.7,88.2,73.7,73.7,71.1
2017,RAMSEY,7903,77.9,79.8,88.1,79.8,80.2,73.2
2017,OLMSTED,2645,72,73.8,85.6,73.3,74.1,69.2
2018,RED LAKE,46,89.1,89.1,95.7,89.1,89.1,87
2018,MORRISON,406,82.5,80.5,90.1,82.5,80.3,77.6
2018,RICE,786,80.9,80,90.2,81.7,81.2,76.1
2019,WASHINGTON,3663,81.9,82.1,91.2,82.2,81.5,78.7
2019,BENTON,570,81.8,80.7,89.8,81.8,81.1,76.3
2019,MURRAY,111,79.3,80.2,90.1,79.3,80.2,75.7
2017,DODGE,291,85.2,86.3,93.1,86.3,85.2,82.8
2017,MILLE LACS,348,77,78.2,87.1,78.7,77.3,73
2017,COOK,59,76.3,83.1,89.8,81.4,83.1,76.3
2017,MAHNOMEN,88,80.7,84.1,92,84.1,84.1,80.7
2017,BIG STONE,65,80,83.1,89.2,80,80,76.9
2018,WRIGHT,2364,77.4,76,86.4,77.5,77.3,71.2
2018,OTTER TAIL,687,76.6,76.1,87,77.1,75.8,71.9
2018,KANABEC,198,77.3,76.3,87.9,77.3,74.7,73.2
2018,WINONA,519,80.7,79.6,88.4,80.3,79.2,75.7
2019,SHERBURNE,1455,76.6,74.4,81.9,76.9,76.5,66.3
2019,CLEARWATER,103,55.3,57.3,79.6,59.2,56.3,53.4
2019,FREEBORN,397,75.6,76.1,88.2,75.6,75.8,74.6
2019,RICE,823,78,75.3,90.6,78.3,77,71.9
2019,WASECA,227,78.4,78,89.9,78.4,77.5,77.1
2019,HOUSTON,219,79,78.5,91.3,79.5,78.1,74.9
2019,TODD,356,64.9,65.7,73.3,64.9,65.2,62.4
2017,NOBLES,443,83.1,86.2,94.4,84.4,84.4,79.5
2017,GOODHUE,579,80.7,81.7,90.2,81.7,80.7,76.5
2018,WASHINGTON,3776,81.7,82.8,90.3,81.8,82.3,79
2019,REDWOOD,216,81.5,82.9,94.9,81.9,82.4,79.6
2017,POLK,455,71.4,75.6,82.2,73.4,75.4,68.8
2017,WADENA,208,72.6,75,86.1,74.5,73.1,69.2
2017,HUBBARD,255,77.3,79.2,88.6,78.4,76.9,72.9
2018,WADENA,190,73.2,71.6,82.1,73.7,71.1,70.5
2018,KOOCHICHING,116,84.5,84.5,92.2,85.3,83.6,83.6
2018,JACKSON,123,80.5,81.3,88.6,80.5,81.3,74.8
2018,SIBLEY,195,76.9,80,86.2,77.9,79.5,75.4
2018,AITKIN,123,78,79.7,89.4,79.7,77.2,74.8
2018,HUBBARD,238,72.3,73.1,82.8,73.9,71.8,68.9
2019,LYON,402,83.6,83.3,94.8,83.1,82.6,81.6
2019,MAHNOMEN,87,86.2,87.4,93.1,87.4,87.4,86.2
2019,PENNINGTON,176,80.1,80.1,94.9,79.5,78.4,77.3
2019,MILLE LACS,300,72,72,82.7,73.7,70.3,66.3
2019,LAC QUI PARLE,85,85.9,84.7,94.1,85.9,84.7,83.5
2019,ROSEAU,188,67.6,70.7,82.4,70.2,69.7,65.4
2019,WABASHA,252,77.8,79,88.5,78.2,78.6,75.4
2019,FILLMORE,267,68.2,67,79.4,68.5,67,65.9
2019,STEVENS,140,87.1,87.1,95,86.4,87.1,85
2018,NO ADDRESS ,1,0,100,100,100,100,0
2018,HENNEPIN,17171,76,76.2,86.7,76.7,76.9,70
2018,ST LOUIS,1974,82.1,83.3,91.4,83.2,82.9,80
2018,WABASHA,263,81.4,82.9,88.6,82.1,82.5,78.3
2017,ITASCA,538,82.2,85.1,91.4,85.3,84.6,81
2017,REDWOOD,207,82.1,84.1,92.3,84.5,84.1,81.6
2017,MURRAY,104,89.4,90.4,94.2,89.4,90.4,88.5
2017,BENTON,554,84.3,84.3,91.5,85,83.6,81.6
2017,ROCK,103,58.3,60.2,69.9,58.3,58.3,53.4
2018,DODGE,305,81,81.3,87.2,81.6,80.7,76.1
2018,COTTONWOOD,154,71.4,75.3,86.4,72.7,74.7,68.8
2018,BIG STONE,67,74.6,74.6,88.1,74.6,74.6,74.6
2019,FARIBAULT,169,78.7,79.9,91.1,81.1,78.1,76.9
2019,MARSHALL,140,82.1,83.6,93.6,82.1,83.6,80.7
2019,COTTONWOOD,166,80.1,81.3,84.3,81.3,80.7,75.9
2019,POPE,130,80.8,81.5,90,80.8,80,78.5
2017,CROW WING,721,77.1,78.2,87.9,78.2,77.4,74.2
2018,KANDIYOHI,617,81.2,81.2,90.6,81.8,80.1,76.2
2018,BLUE EARTH,767,83.7,83.2,94.5,83.7,83.4,81.7
2019,CARVER,1551,81.5,79.6,90,81.5,80.7,76.3
2017,PIPESTONE,136,77.9,80.9,90.4,81.6,80.9,77.2
2017,KOOCHICHING,124,82.3,84.7,88.7,83.1,83.1,81.5
2017,LAC QUI PARLE,73,87.7,84.9,89,86.3,83.6,82.2
2018,POPE,139,83.5,82.7,92.8,82.7,82.7,81.3
2019,KOOCHICHING,108,77.8,76.9,89.8,78.7,75.9,73.1
2019,NICOLLET,398,82.4,84.7,94.5,83.4,83.9,80.4
2019,COOK,31,77.4,80.6,87.1,77.4,77.4,77.4
2017,HENNEPIN,17817,75.2,76.6,86.4,77.1,77.2,69
2017,WASHINGTON,3881,82.9,84.1,90.5,83.8,83.9,79.7
2018,MARTIN,269,79.2,79.9,87.4,79.6,79.2,75.5
2019,KANDIYOHI,593,78.9,77.7,90.1,79.4,78.6,74.2
2017,CASS,310,74.8,78.7,88.1,78.4,77.7,74.2
2017,STEELE,514,79.6,82.1,88.7,81.7,81.3,77.2
2017,CHISAGO,719,82.6,84.1,90.7,82.6,83.4,79.3
2018,ISANTI,572,77.6,77.3,88.3,79,77.4,74.1
2018,LYON,407,82.3,83,95.6,82.6,82.8,81.3
2018,MAHNOMEN,82,86.6,90.2,92.7,90.2,90.2,86.6
2018,MCLEOD,434,84.6,85.9,95.4,85.3,86.2,82.7
2018,CHISAGO,686,79,79.2,87.3,79.9,79.3,75.5
2018,NICOLLET,443,83.3,83.3,94.4,84.2,83.1,81
2018,CHIPPEWA,169,82.8,84,95.9,84,83.4,81.7
2018,RENVILLE,180,81.1,82.2,92.2,83.9,82.2,78.9
2018,PINE,313,81.2,82.1,87.9,81.5,81.2,78.3
2018,GRANT,66,81.8,81.8,90.9,83.3,81.8,80.3
2019,WADENA,185,68.1,68.6,79.5,69.7,67,64.9
2019,AITKIN,116,76.7,78.4,89.7,78.4,77.6,75.9
2017,ISANTI,540,77,78.5,87.8,79.3,78,74.3
2017,GRANT,69,73.9,73.9,85.5,73.9,73.9,73.9
2017,TODD,382,64.9,67.5,74.3,67.3,65.7,62.3
2017,FILLMORE,297,73.7,74.1,80.1,73.7,73.1,70
2017,MOWER,644,80.4,82.9,87.1,82.9,82.6,75.6
2017,WILKIN,89,68.5,70.8,84.3,68.5,69.7,65.2
2017,YELLOW MEDICINE,123,83.7,87,95.9,86.2,86.2,83.7
2018,REDWOOD,210,84.3,84.8,93.3,84.8,84.3,83.8
2018,POLK,460,73,74.3,80.9,73.7,73,68.7
2018,PIPESTONE,156,76.9,76.9,91.7,77.6,76.3,74.4
2018,LAKE,103,77.7,76.7,86.4,80.6,77.7,74.8
2018,NORMAN,84,79.8,84.5,88.1,81,84.5,77.4
2018,MILLE LACS,319,68.3,70.2,81.2,69.9,69,63.9
2019,CARLTON,438,84.5,84,91.6,84.2,83.1,81.5
2019,DOUGLAS,454,79.3,78.4,86.3,77.5,76.7,74.7
2019,LAKE,114,73.7,74.6,85.1,74.6,75.4,71.9
2019,KITTSON,55,70.9,72.7,72.7,69.1,70.9,69.1
2019,JACKSON,121,81,81.8,91.7,81.8,81,76.9
2018,DAKOTA,6260,77.3,77.4,86.5,78.2,78.3,72.2
2019,KANABEC,170,75.3,74.7,88.2,75.9,74.1,72.4
2018,PENNINGTON,185,82.2,83.2,92.4,83.2,82.2,79.5
2017,LYON,412,84,86.2,94.2,86.2,85.4,82
2017,CARLTON,413,85.2,85.7,93.9,85.7,86.2,81.6
2017,JACKSON,124,83.9,83.9,91.9,83.1,83.9,80.6
2017,LAKE OF THE WOODS,42,78.6,78.6,92.9,78.6,76.2,76.2
2018,WASECA,237,84.4,84.8,94.9,84.4,84,82.3
2018,FARIBAULT,181,84,85.6,94.5,85.6,85.1,82.9
2018,SWIFT,142,83.8,83.1,91.5,83.1,81.7,80.3
2018,CLAY,966,66.9,69.3,85.9,69.2,68.3,63.1
2018,CROW WING,707,76.2,77.2,88.1,77.2,77.1,74.1
2019,MOWER,647,81.1,82.5,90.3,82.2,82.5,78.5
2019,WINONA,531,76.6,75.1,87.2,77,74.8,72.7
2019,MEEKER,276,77.2,76.8,87.7,77.2,76.1,74.3
2019,ROCK,76,51.3,50,69.7,51.3,48.7,43.4
2018,ANOKA,5249,80,81.1,89.2,80.9,81.3,75.9
2018,OLMSTED,2513,72.9,74.2,84.6,73.7,74.6,68.9
2019,ITASCA,488,82.8,82.4,92.4,83.4,81.8,81.1
2019,HUBBARD,233,70.4,71.2,82.8,71.2,70.4,67.4
2019,DAKOTA,6205,75.4,73.8,85.6,75.4,74.7,69.2
2019,CHIPPEWA,146,79.5,80.8,93.8,79.5,80.8,78.8
2017,HOUSTON,267,82,83.1,90.3,82.8,83.1,80.5
2019,STEARNS,2232,79.6,76.1,89.9,79.6,79.1,70.8
2017,RICE,854,82,82.1,89.8,83.8,82.7,77.9
2017,FARIBAULT,142,85.2,83.8,93,86.6,83.1,81.7
2017,OTTER TAIL,751,79.2,79.8,88.4,79.6,78.8,75.5
2017,NORMAN,81,76.5,80.2,88.9,77.8,79,74.1
2017,STEVENS,165,87.3,88.5,95.8,87.9,84.8,83
2017,WABASHA,283,79.9,82,89.4,81.3,81.6,77.7
2017,RED LAKE,39,76.9,82.1,84.6,76.9,82.1,76.9
2018,DOUGLAS,481,83,82.3,89.6,83,81.9,80.2
2018,MARSHALL,94,77.7,80.9,93.6,79.8,79.8,75.5
2018,CLEARWATER,118,71.2,70.3,83.1,72,71.2,68.6
2018,YELLOW MEDICINE,124,80.6,82.3,90.3,82.3,83.9,79.8
2019,POLK,402,64.2,66.2,76.4,64.9,65.4,59.2
