BIRTH_YEAR,COUNTY_NAME,POP,DTAPCOMP_RATE,MMR2_RATE,HEPBCOMP_RATE,POLIOCOMP_RATE,VARICELLA2_RATE,CHILD2SERIES_RATE,RE
2017,Statewide,4993,87.7,90.6,94.1,89.8,90.2,84.2,api
2018,Statewide,5005,87.1,89.7,93.9,88.2,89.1,84.2,api
2018,Statewide,6310,83.9,86.9,91.5,84.9,86.1,79.3,hisp
2018,Statewide,1214,79.3,83.4,95.3,82.3,83.2,77.8,aian
2017,Statewide,20995,51.5,53.1,72.2,52.9,53,47.4,unk
2016,Statewide,38172,88.9,91.8,94.5,90.2,90.5,85.5,white
2018,Statewide,19168,51.1,51.7,70.5,51.6,52.2,46.5,unk
2016,Statewide,1601,84.8,92.3,95.6,88.9,91.5,82.2,aian
2016,Statewide,23187,56.8,60.4,75.5,58.7,59.4,53.2,unk
2017,Statewide,6234,84.3,88.3,91.9,87,87.1,79.7,hisp
2018,Statewide,38023,88.6,89,94.6,89,88.5,85.2,white
2016,Statewide,7525,81.4,85,92.4,87.8,87.9,74.4,black
2016,Statewide,6359,83.2,89.5,92,86.8,87.9,79,hisp
2018,Statewide,7545,81.7,78.2,92.1,84.4,83.5,71.5,black
2017,Statewide,38565,89.2,90.4,94.5,90,89.8,85.6,white
2016,Statewide,5323,86.1,90.6,93.6,88.4,90,82.2,api
2017,Statewide,7606,83.9,82.9,92.3,88,87.5,74.5,black
2017,Statewide,1323,84.3,89,94.9,87.9,89.3,82,aian
