BIRTH_YEAR,COUNTY_NAME,POP,DTAP4_RATE,MMR1_RATE,HEPBCOMP_RATE,HIBCOMP_RATE,POLIO3_RATE,VARICELLA1_RATE,PCVCOMP_RATE,CHILDSERIES_RATE,RE
2021,Statewide,1070,78.4,89.9,87.4,86.9,85.2,89.4,86.6,75.5,aian
2021,Statewide,40921,84.1,88.8,86.3,86.6,88,87.9,85.8,79.3,white
2022,Statewide,7297,74.4,70.5,88.8,83.6,84.9,84.7,83.1,57.4,black
2021,Statewide,7938,63.5,72.2,68.6,70,68.8,73.4,69.7,55.8,unk
2023,Statewide,4250,85.1,92.6,93.6,90.3,92.7,92.6,90.5,82.6,api
2021,Statewide,5074,86.4,92.1,91.1,89.8,91.6,92,88.7,82.4,api
2023,Statewide,32309,86,92.2,92.2,90.4,92.1,90.9,89.7,82.3,white
2022,Statewide,12968,48.1,53.5,55.5,54.4,54.4,55.2,53.5,42.6,unk
2022,Statewide,931,77,91.1,90.9,89.4,87.3,91,88.8,75.2,aian
2023,Statewide,6482,66.8,67,86.6,77.3,82.4,79.9,76.1,51.9,black
2022,Statewide,35284,86.9,92.7,92.1,91.5,92.3,91.5,90.3,82.6,white
2021,Statewide,8448,75.9,74.8,85.9,84,84.1,86.1,82.9,60.9,black
2022,Statewide,7722,80.9,88.7,89,87.1,88.1,88.7,86.4,76.8,hisp
2023,Statewide,849,77.1,90.8,91.5,88.2,89.5,90,86.2,73.7,aian
2021,Statewide,7202,84.5,91.4,88.9,88,89.1,91.4,87.9,79.4,hisp
2023,Statewide,7741,78.6,88.2,89.3,84.5,87.7,87.5,83.7,75.3,hisp
2022,Statewide,4682,87,92.7,93.9,91.3,93.1,92.8,90.7,83.9,api
2023,Statewide,12551,43.1,47.8,50.8,48.2,49.7,48.9,47.5,38.4,unk
