"REPORT_DATE","FIPS","LOCALITY_NAME","INDICATOR","SUB_INDICATOR","COVID_VACCINE_COUNT","COVID_19_PEOPLE_COUNT","FLU_VACCINE_COUNT","FLU_PEOPLE_COUNT","COVID_VACCINE_RATE","FLU_VACCINE_RATE","VACCINE_RESPIRATORY_SEASON"
"2026-04-13","51001","Accomack","Age_Group","0-4","0","0","0","0","0","0","2025-26"
"2024-09-10","51001","Accomack","Age_Group","0-4","45","44","840","629","2.6%","37.4%","2023-24"
"2025-10-07","51001","Accomack","Age_Group","0-4","7","5","399","323","0.003","0.192","2024-25"
"2026-04-13","51001","Accomack","Age_Group","12-17","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Age_Group","12-17","16","16","215","213","0.007","0.093","2024-25"
"2024-09-10","51001","Accomack","Age_Group","12-17","91","89","590","578","3.9%","25.2%","2023-24"
"2026-04-13","51001","Accomack","Age_Group","18-30","0","0","0","0","0","0","2025-26"
"2024-09-10","51001","Accomack","Age_Group","18-30","135","130","754","728","3.0%","16.9%","2023-24"
"2025-10-07","51001","Accomack","Age_Group","18-30","67","65","418","415","0.015","0.096","2024-25"
"2026-04-13","51001","Accomack","Age_Group","31-49","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Age_Group","31-49","164","159","796","789","0.025","0.122","2024-25"
"2024-09-10","51001","Accomack","Age_Group","31-49","348","337","1,355","1,306","5.2%","20.2%","2023-24"
"2026-04-13","51001","Accomack","Age_Group","50-64","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Age_Group","50-64","494","464","1334","1310","0.065","0.185","2024-25"
"2024-09-10","51001","Accomack","Age_Group","50-64","998","970","2,272","2,196","13.7%","31.0%","2023-24"
"2026-04-13","51001","Accomack","Age_Group","5-11","0","0","0","0","0","0","2025-26"
"2024-09-10","51001","Accomack","Age_Group","5-11","58","58","595","586","2.3%","22.8%","2023-24"
"2025-10-07","51001","Accomack","Age_Group","5-11","8","8","279","274","0.003","0.107","2024-25"
"2026-04-13","51001","Accomack","Age_Group","65+","0","0","0","0","0","0","2025-26"
"2024-09-10","51001","Accomack","Age_Group","65+","2,929","2,722","4,899","4,576","31.2%","52.4%","2023-24"
"2025-10-07","51001","Accomack","Age_Group","65+","2019","1750","3368","3286","0.2","0.376","2024-25"
"2026-04-13","51001","Accomack","Race and Ethnicity","Asian or Pacific Islander","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Race and Ethnicity","Asian or Pacific Islander","27","26","89","88","0.086","0.292","2024-25"
"2024-09-10","51001","Accomack","Race and Ethnicity","Asian or Pacific Islander","34","32","93","90","10.6%","29.9%","2023-24"
"2026-04-13","51001","Accomack","Race and Ethnicity","Black","0","0","0","0","0","0","2025-26"
"2024-09-10","51001","Accomack","Race and Ethnicity","Black","1,212","1,179","2,992","2,805","13.0%","30.9%","2023-24"
"2025-10-07","51001","Accomack","Race and Ethnicity","Black","504","467","1504","1454","0.051","0.16","2024-25"
"2026-04-13","51001","Accomack","Age_Group","Female","0","0","0","0","0","0","2025-26"
"2026-04-13","51001","Accomack","Race and Ethnicity","Female","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Sex","Female","1568","1402","4034","3912","0","0","2024-25"
"2024-09-10","51001","Accomack","Sex","Female","2,533","2,414","6,572","6,192","14.3%","36.8%","2023-24"
"2026-04-13","51001","Accomack","Sex","Female","912","881","3388","3324","0","0","2025-26"
"2026-04-13","51001","Accomack","Race and Ethnicity","Latino","0","0","0","0","0","0","2025-26"
"2024-09-10","51001","Accomack","Race and Ethnicity","Latino","258","249","1,208","1,113","7.8%","35.1%","2023-24"
"2025-10-07","51001","Accomack","Race and Ethnicity","Latino","67","61","426","401","0.019","0.126","2024-25"
"2026-04-13","51001","Accomack","Age_Group","Male","0","0","0","0","0","0","2025-26"
"2026-04-13","51001","Accomack","Race and Ethnicity","Male","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Sex","Male","1207","1065","2775","2698","0","0","2024-25"
"2024-09-10","51001","Accomack","Sex","Male","2,071","1,936","4,732","4,406","11.9%","27.0%","2023-24"
"2026-04-13","51001","Accomack","Sex","Male","719","684","2362","2304","0","0","2025-26"
"2026-04-13","51001","Accomack","Race and Ethnicity","Native American","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Race and Ethnicity","Native American","21","19","33","33","0.221","0.384","2024-25"
"2024-09-10","51001","Accomack","Race and Ethnicity","Native American","22","20","48","46","23.3%","53.5%","2023-24"
"2024-09-10","51001","Accomack","Sex","Not Reported","0","0","1","1","","","2023-24"
"2026-04-13","51001","Accomack","Race and Ethnicity","Not Reported","0","0","0","0","0","0","2025-26"
"2026-04-13","51001","Accomack","Sex","Not Reported","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Race and Ethnicity","Not Reported","17","16","73","70","0","0.002","2024-25"
"2024-09-10","51001","Accomack","Race and Ethnicity","Not Reported","48","48","193","187","","","2023-24"
"2026-04-13","51001","Accomack","Race and Ethnicity","Other Race","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Race and Ethnicity","Other Race","6","6","21","21","0.011","0.038","2024-25"
"2024-09-10","51001","Accomack","Race and Ethnicity","Other Race","8","8","27","27","1.5%","4.9%","2023-24"
"2026-04-13","51001","Accomack","Age_Group","Unknown","0","0","0","0","0","0","2025-26"
"2026-04-13","51001","Accomack","Race and Ethnicity","Unknown","0","0","0","0","0","0","2025-26"
"2026-04-13","51001","Accomack","Sex","UNKNOWN","0","0","1","1","0","0","2025-26"
"2026-04-13","51001","Accomack","Race and Ethnicity","White","0","0","0","0","0","0","2025-26"
"2025-10-07","51001","Accomack","Race and Ethnicity","White","2133","1872","4663","4543","0.094","0.228","2024-25"
"2024-09-10","51001","Accomack","Race and Ethnicity","White","3,022","2,814","6,744","6,331","14.1%","31.7%","2023-24"
"2026-04-13","51003","Albemarle","Age_Group","0-4","0","0","0","0","0","0","2025-26"
"2024-09-10","51003","Albemarle","Age_Group","0-4","1,734","1,328","4,344","3,460","24.4%","63.5%","2023-24"
"2025-10-07","51003","Albemarle","Age_Group","0-4","948","770","4090","3307","0.141","0.607","2024-25"
"2026-04-13","51003","Albemarle","Age_Group","12-17","0","0","0","0","0","0","2025-26"
"2024-09-10","51003","Albemarle","Age_Group","12-17","1,370","1,331","3,328","3,243","13.9%","33.8%","2023-24"
"2025-10-07","51003","Albemarle","Age_Group","12-17","1354","1337","3197","3174","0.139","0.331","2024-25"
"2026-04-13","51003","Albemarle","Age_Group","18-30","0","0","0","0","0","0","2025-26"
"2024-09-10","51003","Albemarle","Age_Group","18-30","2,082","2,016","5,294","5,121","10.1%","25.6%","2023-24"
"2025-10-07","51003","Albemarle","Age_Group","18-30","2116","2075","5040","4991","0.104","0.25","2024-25"
"2026-04-13","51003","Albemarle","Age_Group","31-49","0","0","0","0","0","0","2025-26"
"2024-09-10","51003","Albemarle","Age_Group","31-49","5,130","4,927","9,975","9,548","18.9%","36.5%","2023-24"
"2025-10-07","51003","Albemarle","Age_Group","31-49","5214","5082","9271","9203","0.194","0.352","2024-25"
"2026-04-13","51003","Albemarle","Age_Group","50-64","0","0","0","0","0","0","2025-26"
"2025-10-07","51003","Albemarle","Age_Group","50-64","5659","5446","8577","8503","0.263","0.411","2024-25"
"2024-09-10","51003","Albemarle","Age_Group","50-64","6,282","5,800","9,868","9,312","28.0%","45.0%","2023-24"
