,,,,
  IIS Data Dashboards,,,,
"    Generated by Mary Beth Kurilo on Apr 10, 2026 02:46 PM",,,,
,,,,
,,,,
,,,,
Org Name,IIS Name,IIS State/Jurisdiction,Website,IIS Dashboard
Arizona Department of Health Services (AZ ASIIS),Arizona State Immunization Information Systems (ASIIS),Arizona,http://azdhs.gov,https://www.azdhs.gov/preparedness/epidemiology-disease-control/immunization/index.php#reports-immunization-coverage
California Department of Public Health (CA CAIR2) - UCSF,California Immunization Registry (CAIR2),California,https://www.cdph.ca.gov/,"https://www.arcgis.com/apps/dashboards/78884420040949199f3e034c486f1e86

http://publichealth.lacounty.gov/media/coronavirus/vaccine/vaccine-dashboard.htm"
Colorado Department of Public Health & Environment (CO CIIS),Colorado Immunization Information System (CIIS),Colorado,https://cdphe.colorado.gov/,https://cdphe.colorado.gov/respiratory-virus-immunization-data
Illinois Department of Public Health (IL I-CARE),Illinois Comprehensive Automated Immunization Registry Exchange (I-CARE),Illinois,https://www.dph.illinois.gov/,https://dph.illinois.gov/topics-services/prevention-wellness/immunization/coverage-dashboards.html
Indiana Department of Health (IN CHIRP),Children and Hoosier Immunization Registry Program (CHIRP),Indiana,https://www.in.gov/isdh/,https://www.in.gov/health/directory/office-of-the-commissioner/public-health-data-navigator/immunizations/
Iowa Department of Health and Human Services (IA IRIS),Iowa Immunization Registry Information System (IRIS),Iowa,https://idph.iowa.gov/,https://hhs.iowa.gov/about/data-reports/health-disease/immunization/childhood-immunization-data
Kansas Department of Health & Environment (KSWebIZ),Kansas Immunization Information System (Kansas WebIZ),Kansas,https://www.kdhe.ks.gov/214/Immunizations,https://www.kdhe.ks.gov/219/Immunization-Coverage
Kentucky Cabinet for Health and Family Services (KYIR),Kentucky Immunization Registry (KYIR),Kentucky,https://chfs.ky.gov/Pages/index.aspx,https://healthtracking.ky.gov/Topics/immunizations/Pages/Kentucky-Immunization-Registry-.aspx
Louisiana Department of Health (LA LINKS),Louisiana Immunization Information System (LINKS),Louisiana,http://ldh.la.gov/,https://ldh.la.gov/page/childhood-and-teen-vaccination-coverage-dashboard
Massachusetts Department of Public Health (MA MIIS),Massachusetts Immunization Information System (MIIS),Massachusetts,http://www.mass.gov/dph,https://datavisualization.dph.mass.gov/views/MDPHRespiratoryDiseasesImmunizationsDashboard/Overview?%3Aembed=y&%3AisGuestRedirectFromVizportal=y
Minnesota Department of Health (MN MIIC),Minnesota Immunization Information Connection (MIIC),Minnesota,https://www.health.state.mn.us/,https://www.health.mn.gov/people/immunize/stats/gaps.html
New Jersey Department of Health (NJ NJIIS),New Jersey Immunization Information System (NJIIS),New Jersey,https://www.nj.gov/health/,https://www.nj.gov/health/cd/statistics/imm-status-reports/dashboard_only.shtml
New York State Department of Health (NY NYSIIS),New York State Immunization Information System (NYSIIS),New York State,https://health.ny.gov/,https://coronavirus.health.ny.gov/covid-19-and-influenza-vaccination-data
North Carolina Department of Health and Human Services (NC NCIR),North Carolina Immunization Registry (NCIR),North Carolina,https://www.ncdhhs.gov/,https://www.dph.ncdhhs.gov/programs/epidemiology/communicable-disease/respiratory-diseases/dashboard/vaccinations
North Dakota Department of Health & Human Services (ND IIS),North Dakota Immunization Information System (NDIIS),North Dakota,https://www.hhs.nd.gov/immunizations/ndiis,https://www.hhs.nd.gov/immunizations/coverage-rates
NYC Dept of Health & Mental Hygiene (NY CIR),New York Citywide Immunization Registry (CIR),"New York City, NY",https://www1.nyc.gov/site/doh/index.page,https://www.nyc.gov/site/doh/data/data-sets/childhood-vaccination-data.page
Oregon Health Authority (OR ALERT),Oregon State ALERT Immunization Information System (ALERT IIS),Oregon,https://www.oregon.gov/oha/ph/pages/index.aspx,https://www.oregon.gov/oha/ph/preventionwellness/vaccinesimmunization/pages/research.aspx
Rhode Island Department of Health (RI KIDSNET),Rhode Island Child and Adult Immunization Registry (RICAIR),Rhode Island,https://health.ri.gov/,https://ricair-data-rihealth.hub.arcgis.com/pages/home
Tennessee Department of Health (TN TennIIS),Tennessee Immunization Information System (TennIIS),Tennessee,https://www.tn.gov/health.html,https://www.tn.gov/health/cedep/immunization-program/ip/immunization-fact-sheet/coverage-rate-dashboard.html
Texas Department of State Health Services (TX ImmTrac),Texas Immunization Registry (ImmTrac2),Texas,https://dshs.texas.gov/,https://www.dshs.texas.gov/immunizations/data/program-data
Utah Department of Health (UT USIIS),Utah Statewide Immunization Information System (USIIS),Utah,https://health.utah.gov/,https://avrpublic.dhhs.utah.gov/imms_dashboard/
Vermont Department of Health (VT IMR),Vermont Immunization Registry (VT IMR),Vermont,http://www.healthvermont.gov/,https://www.healthvermont.gov/stats/data-reporting-topic/vaccination-coverage
Virginia Department of Health (VA VIIS),Virginia Immunization Information System (VIIS),Virginia,http://www.vdh.virginia.gov/,https://www.vdh.virginia.gov/epidemiology/respiratory-diseases-in-virginia/data/vaccines/
Washington State Department of Health (WAIIS),Washington State Immunization Information System (WAIIS),Washington,https://doh.wa.gov/,https://doh.wa.gov/data-and-statistical-reports/washington-tracking-network-wtn/immunization-data/county-public-health-measures-dashboard
West Virginia Department of Health & Human Resources (WV WVSIIS),West Virginia Statewide Immunization Information System (WVSIIS),West Virginia,https://dhhr.wv.gov/Pages/default.aspx,https://oeps.wv.gov/immunizations/Pages/default.aspx
Wisconsin Department of Health Services (WI WIR),Wisconsin Immunization Registry (WIR),Wisconsin,https://www.dhs.wisconsin.gov/,"https://www.dhs.wisconsin.gov/immunization/adult-vaccine-data.htm

https://www.dhs.wisconsin.gov/immunization/covid-19-vaccine-data.htm"
